room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
4008051,1461,20782499,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,34.0,,Studio to let Denis Pritt Kilimani,2017-07-23 04:58:25.899637,-1.280924,36.816065,0101000020E6100000833463D17468424085950A2AAA7EF4BF
11090771,1461,57589700,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,16.0,,TWO BEDROOM APARTMENT ONE BATH,2017-07-23 04:58:25.897635,-1.30379,36.902549,0101000020E6100000CD04C3B98673424023A12DE752DCF4BF
1613355,1461,4024788,Shared room,,Kenya,,Nairobi,2,0.0,2,1.0,,12.0,,DOUBLE ROOM IN 3 BR APRT -WESTLANDS,2017-07-23 04:58:25.895584,-1.303442,36.825684,0101000020E61000004D6A6803B0694240AEB9A3FFE5DAF4BF
14926415,1461,93836507,Shared room,,Kenya,,Machakos,0,0.0,2,1.0,,10.0,,GreatWall Apartment,2017-07-23 04:58:25.893703,-1.382595,36.939573,0101000020E6100000319A95ED4378424057CF49EF1B1FF6BF
7977567,1461,42105018,Shared room,,Kenya,,Nairobi,0,0.0,12,1.0,,28.0,,MAGGIES NEST HOTEL,2017-07-23 04:58:25.889232,-1.28053,36.817779,0101000020E6100000842D76FBAC68424005C078060D7DF4BF
18987778,1461,132457374,Shared room,,Kenya,,Nairobi,0,0.0,8,1.0,,10.0,,Bustani Hostel,2017-07-23 04:58:25.886731,-1.313491,36.810596,0101000020E61000005B22179CC1674240047289230F04F5BF
5052228,1461,26087534,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,18.0,,Home away from Home,2017-07-23 04:58:25.884593,-1.280617,36.820062,0101000020E61000009F58A7CAF7684240E2395B40687DF4BF
11702767,1461,55176840,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,20.0,,Killileshwa 1 bedroom Apartment,2017-07-23 04:58:25.881749,-1.281438,36.788741,0101000020E6100000D6011077F56442405AA0DD21C580F4BF
9104484,1461,47455909,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,15.0,,"2 Bedroom 1 bath Apartment in Nairobi, Near JKIA.",2017-07-23 04:58:25.874744,-1.307073,36.900029,0101000020E6100000CE39782634734240F4C0C760C5E9F4BF
18434887,1461,125557512,Shared room,,Kenya,,Nakuru,0,0.0,2,1.0,,30.0,,Mango Cribs 2,2017-07-23 04:58:24.043717,-0.294481,36.067373,0101000020E610000014D1AFAD9F084240ACC612D6C6D8D2BF
15702767,1461,100563276,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,40.0,,Home Away from Home,2017-07-23 04:58:24.041689,-1.295667,36.776448,0101000020E6100000B685E7A562634240581AF8510DBBF4BF
7256647,1461,33507111,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,Rooftop apartment with amazing view,2017-07-23 04:58:24.039166,-1.289977,36.901215,0101000020E610000013D55B035B7342409E7939ECBEA3F4BF
5868360,1461,22564363,Shared room,,Kenya,,Nakuru,0,0.0,4,1.0,,20.0,,A Flat in the Rift Valley,2017-07-23 04:58:24.036593,-0.290012,36.06073,0101000020E61000006BF12900C6074240B1A4DC7D8E8FD2BF
15715358,1461,101487746,Shared room,,Kenya,,Nairobi,0,0.0,3,1.0,,20.0,,Cool House,2017-07-23 04:58:24.029022,-1.316156,36.757427,0101000020E6100000BF0D315EF360424063F20698F90EF5BF
9896219,1461,43443533,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,20.0,,EILEEN WAMBUI,2017-07-23 04:58:24.026373,-1.289139,36.860989,0101000020E61000009D9B36E3346E424066F84F3750A0F4BF
13957288,1461,83128269,Shared room,,Kenya,,Nakuru,0,0.0,2,1.0,,15.0,,A Convenient Traveler's Room,2017-07-23 04:58:24.023715,-0.291645,36.075586,0101000020E61000008A0453CDAC094240D1AE42CA4FAAD2BF
3944730,1461,20441570,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,24.0,,Lovely neighborhood to stay,2017-07-23 04:58:24.021034,-1.324132,36.80519,0101000020E61000007B88467710674240A6643909A52FF5BF
14331166,1461,87711217,Shared room,,Kenya,,Nairobi,0,0.0,4,1.0,,40.0,,SECURE AND CLEAN DOUBLE ROOM IN NAIROBI,2017-07-23 04:58:24.018851,-1.338386,36.771283,0101000020E6100000FA7ABE66B9624240C1C93670076AF5BF
16906983,1461,108641292,Shared room,,Kenya,,Kilifi,0,0.0,1,1.0,,16.0,,Cozy 1 Bedroom Apartment,2017-07-23 04:58:24.016003,-3.9405,39.750922,0101000020E610000068EC4B361EE04340A01A2FDD24860FC0
16759847,1461,111089835,Shared room,,Kenya,,Nairobi,0,0.0,4,1.0,,30.0,,"Paradise in Africa,and true Kenyan Hospitality!!",2017-07-23 04:58:24.013784,-1.322544,36.876684,0101000020E610000096766A2E377042401D56B8E52329F5BF
12281740,1461,66175826,Shared room,,Kenya,,Nairobi,0,0.0,1,1.0,,10.0,,A one bedroom apartment,2017-07-23 04:58:24.011144,-1.305066,36.779256,0101000020E61000001B9B1DA9BE634240D0F1D1E28CE1F4BF
3535431,1461,17800932,Shared room,,Kenya,,Nairobi,0,0.0,2,1.0,,25.0,,Luna Homestay Nairobi-CleanFriendly,2017-07-23 04:58:24.009019,-1.310343,36.775903,0101000020E610000024EF1CCA5063424032AEB8382AF7F4BF
472785,1461,2336498,Shared room,,Kenya,,Kiambu,0,0.0,4,1.0,,10.0,,Home Away From Home,2017-07-23 04:58:24.006322,-1.205699,36.779513,0101000020E610000047E7FC14C7634240541EDD088B4AF3BF
